forecast_time,latitude,longitude,forecast_temperature,forecast_pressure,forecast_wind_speed,forecast_rainfall_6h,ml_temperature,ml_pressure,ml_wind_speed,ml_rainfall
2022-06-01 06:00:00,11.0,74.0,26.61337890625004,1009.1313125,5.416022980198645,8.22528,26.486640707531134,1009.0562310083587,3.7396824462738105,0.44991014201999274
2022-06-01 06:00:00,11.0,75.0,27.213378906250057,1009.1473125,5.426345456641444,4.33728,26.3271696739488,1009.1401489295039,3.6877441136238107,0.8655848005722426
2022-06-01 06:00:00,11.0,76.0,29.61337890625004,1003.8353125,1.7646431285839517,4.64832,28.70551610440079,1005.9009382475117,2.067658372190686,2.258054655670811
2022-06-01 06:00:00,11.0,77.0,30.713378906250057,961.4993125,5.716383961550163,0.5529600000000002,30.24227611335995,958.3201106146822,5.288066970535957,0.3905811910125934
2022-06-01 06:00:00,11.0,78.0,33.31337890625002,988.9073125,5.509422224004283,0.0,34.13599825636113,987.9564460513499,4.96002140273333,0.0013292429086046132
2022-06-01 06:00:00,12.0,74.0,26.413378906250045,1008.9073125,5.003702244101436,0.6912000000000001,26.894974033877535,1008.6817413853709,2.8983237119388514,0.2982756891773288
2022-06-01 06:00:00,12.0,75.0,27.713378906250057,1008.5393125,1.0131052469392037,2.2809600000000003,26.798355607140024,1008.356746600781,2.820100273988041,0.24046112686700644
2022-06-01 06:00:00,12.0,76.0,26.813378906250023,918.2833125,1.863786911252312,2.5056,26.35200832428207,922.8816313838629,2.3143852523103283,0.2052685559456492
2022-06-01 06:00:00,12.0,77.0,27.813378906250023,924.8753125,3.6992442138997874,1.1059200000000002,27.238787508301588,919.8205466180552,3.3193560936990227,0.091564621406201
2022-06-01 06:00:00,12.0,78.0,31.913378906250045,958.9873125,4.47622319723815,0.0,30.339983003174705,952.4975950798926,3.6442283985188144,0.001927912706987564
2022-06-01 06:00:00,13.0,74.0,28.61337890625004,1008.3473125000002,2.446148776762246,2.45376,27.092381669833667,1008.6667564654839,2.8412853168692007,0.21882546841454725
2022-06-01 06:00:00,13.0,75.0,30.61337890625004,999.8993125,2.082981792906234,4.68288,28.93881692308728,998.5111108565742,2.2366197189736075,1.3321478626764596
2022-06-01 06:00:00,13.0,76.0,27.01337890625001,903.3713125,2.9590291574860004,2.54016,26.139015143418426,899.5998245172389,2.677123068446678,0.21428803981255476
2022-06-01 06:00:00,13.0,77.0,28.913378906250045,921.4833125,3.9269794987449633,0.0,28.05449733616802,919.8675828618121,3.0586305572704013,0.004161391419363858
2022-06-01 06:00:00,13.0,78.0,29.213378906250057,911.0193125,5.710560310745769,0.0,28.505253475145516,912.2496091031087,4.484444568355139,0.0037691652232985837
2022-06-01 06:00:00,14.0,74.0,28.313378906250023,1008.1233125,1.3803801401134017,6.912000000000001,27.283013486461222,1007.6887307681483,2.840593420967195,0.6317668675312129
2022-06-01 06:00:00,14.0,75.0,24.813378906250023,941.3233125,0.949709063267434,0.6566400000000001,26.89732002038093,939.3978262308207,2.3554280139776274,0.44204409239889986
2022-06-01 06:00:00,14.0,76.0,25.713378906250057,928.8273125,4.352078421522166,0.2419200000000001,26.9846902748181,929.4773668936378,3.1299385578673835,0.10738531060367168
2022-06-01 06:00:00,14.0,77.0,29.713378906250057,935.4993125,6.346658647774887,0.0,29.847265960805554,934.5156651341666,3.8986889801909608,0.00542944008222644
2022-06-01 06:00:00,14.0,78.0,31.213378906250057,934.0113125,7.352892138004852,0.0,30.728433101091603,934.5011273640076,4.551430462260711,0.003136392647091575
2022-06-01 06:00:00,15.0,74.0,30.11337890625004,1003.0993125,2.509850401567939,1.9526400000000004,28.07371668750952,1001.2573932660315,2.7704348470218862,0.31416664551784995
2022-06-01 06:00:00,15.0,75.0,30.813378906250023,944.5873125000002,2.537380609331229,0.44928,28.919258845091257,943.9079348441671,2.9166060088968457,0.5211617145543919
2022-06-01 06:00:00,15.0,76.0,29.313378906250023,944.9233125,3.830968544052061,0.0,29.925629370317463,946.3295946039681,3.097694646448655,0.01613822566454064
2022-06-01 06:00:00,15.0,77.0,29.913378906250045,955.0673125,4.710083775790989,0.5529600000000002,30.255928140842236,953.0321392581119,3.9113372880929775,0.12848604699651975
2022-06-01 06:00:00,15.0,78.0,33.81337890625002,971.4993125,6.806571640354783,0.0,33.1220600167143,970.7253795867458,4.5460262978836745,0.005131363639819088
2022-06-01 06:00:00,16.0,74.0,32.913378906250045,952.6513125,1.8222791522592128,0.01728,30.13040612323017,953.3776751851912,2.5865161275673296,0.055553930223599376
2022-06-01 06:00:00,16.0,75.0,30.313378906250023,934.2193125,3.438382346299564,0.0,29.14513115949562,934.9582547418061,3.006800895012842,0.001479134003067157
2022-06-01 06:00:00,16.0,76.0,28.213378906250057,943.0993125,2.02930265192122,0.0,29.05989497813493,942.9302180980161,3.4475599937516894,0.025959292534175553
2022-06-01 06:00:00,16.0,77.0,30.01337890625001,963.3553125,3.0100424793852776,0.0,31.083273754236803,962.1661077011115,3.8684449283990405,0.009477065519927105
2022-06-01 06:00:00,16.0,78.0,34.413378906250045,972.1073125,5.666800371924436,0.0,33.289388811026456,971.3714512428843,4.562308095632953,0.0026732770120365557
2022-06-01 06:00:00,17.0,74.0,32.31337890625002,933.2113125,0.7876944143506299,0.0,29.57717371776192,935.4474332160843,2.3155279451856488,0.028568931693670224
2022-06-01 06:00:00,17.0,75.0,28.413378906250045,935.7553125,3.6197402291237255,0.0,28.610270233620383,935.5540041881926,2.608752031122295,0.0143979455707402
2022-06-01 06:00:00,17.0,76.0,30.413378906250045,951.4353125,2.553376224093576,0.03456,31.38838284593255,951.7102184024207,3.9154467706085376,0.051892804161427754
2022-06-01 06:00:00,17.0,77.0,32.113378906250034,959.1793125,7.700547455754615,0.5011200000000001,31.506366646806523,956.4421732879356,4.206121259665875,0.16928517408521018
2022-06-01 06:00:00,17.0,78.0,32.413378906250045,937.3553125,6.645143199345914,0.0,30.890600505883995,938.8539332226591,4.085502816605846,0.009054847404756107
2022-06-01 06:00:00,18.0,74.0,31.01337890625001,921.9313125,3.3018943079197163,0.0,28.77199394659525,922.7391534057007,2.4194487077618883,0.0028285383194920936
2022-06-01 06:00:00,18.0,75.0,32.413378906250045,949.9793125,3.753269306026848,0.0,30.31766903193653,949.5967966496822,2.777914796985508,0.004310758721646733
2022-06-01 06:00:00,18.0,76.0,32.21337890625006,944.9233125,5.6059254944726895,0.0,31.172747113768196,945.7936325979373,4.166024110823355,0.004361250218977015
2022-06-01 06:00:00,18.0,77.0,33.613378906250034,938.9713125,5.914809372437473,0.0,33.04478449749866,939.0259230581739,3.7006995103454656,0.011230197358791156
2022-06-01 06:00:00,18.0,78.0,34.913378906250045,950.9873125,6.080304643340567,0.0,33.66101585825531,949.7553885605956,3.731329295096676,0.009588413328182669
2022-06-02 06:00:00,11.0,74.0,27.906787109375045,1009.1204375,6.205627868369104,0.01728,27.066898377102277,1009.1993856664812,5.014834142746035,0.23447299872153166
2022-06-02 06:00:00,11.0,75.0,27.906787109375045,1008.8004375000002,5.955812525288417,5.529599999999999,26.87956583641231,1008.8669400203346,3.7011296017146855,0.2768703473975932
2022-06-02 06:00:00,11.0,76.0,31.10678710937504,1003.5364375,2.892409247383769,2.21184,29.322505516746016,1005.3726779103166,2.2579075809027542,0.23210659276708473
2022-06-02 06:00:00,11.0,77.0,30.706787109375057,961.4244375,5.760295364814032,0.8985600000000001,30.138001644182708,958.0723806787829,4.978946623192693,0.5976286046482542
2022-06-02 06:00:00,11.0,78.0,34.30678710937502,988.7044375,5.212036887818057,0.0,35.49610225909921,987.7777402334119,3.981865797643296,0.0012652653625589193
