date,average_bust_score,maximum_bust_score,critical_count
2022-07-19,0.3203333178895892,0.7538014577222976,1
2022-07-20,0.3152932425530454,0.704120350724841,0
2022-07-21,0.2732591567777437,0.5088436520314817,0
2022-07-22,0.3140782407337975,0.6034145188709561,0
2022-07-23,0.2826131140204621,0.547233085358112,0
2022-07-24,0.3200065683060624,0.6521040504058435,0
2022-07-25,0.3010644106486383,0.5447541039678592,0
2022-07-26,0.30876594723455975,0.6164429332105399,0
2022-07-27,0.34119087078055,0.7059721031121863,0
2022-07-28,0.3668652681742229,0.8310642186927473,1
2022-07-29,0.31141809121438685,0.6663674708343694,0
2022-07-30,0.3284813296689788,0.6202851178416298,0
