latitude,longitude,average_bust_score,maximum_bust_score,critical_count,warning_count
15.0,74.0,0.5363706453557656,0.8310642186927473,1,5
12.0,76.0,0.5067440439590594,0.7059721031121863,0,7
11.0,77.0,0.4903297064289587,0.6843851318696501,0,6
12.0,78.0,0.48595128739073884,0.6663674708343694,0,5
13.0,75.0,0.4784081498310293,0.7538014577222976,1,2
12.0,77.0,0.4570772403976863,0.5225776281062675,0,2
11.0,76.0,0.45140346194790676,0.6196719485760052,0,4
14.0,75.0,0.4446540626069663,0.6209650477026284,0,3
13.0,76.0,0.4289245879491835,0.573547018478631,0,3
17.0,74.0,0.38541406906664594,0.5802046638519673,0,1
15.0,77.0,0.3835963890641867,0.6164429332105399,0,2
13.0,77.0,0.36602948366421445,0.5100285279804866,0,1
16.0,74.0,0.34753417016798904,0.7248392994784417,0,3
18.0,78.0,0.3263177517425114,0.5558513241394674,0,2
17.0,77.0,0.3256135746610576,0.4084578649860343,0,0
14.0,74.0,0.31913413458590084,0.564383260599069,0,2
11.0,74.0,0.31677741936434783,0.5518096901539719,0,3
16.0,77.0,0.3110591594070161,0.4282035345656935,0,0
13.0,74.0,0.310080218072239,0.527545620867014,0,1
12.0,74.0,0.30673753740476634,0.5330688481659368,0,2
17.0,78.0,0.29487661112272884,0.53163044385467,0,1
18.0,74.0,0.28024256339788783,0.525934691897888,0,1
15.0,75.0,0.27952434226265716,0.5694707136659898,0,1
11.0,75.0,0.26758040840176744,0.5056686334261417,0,1
16.0,78.0,0.2646334744522345,0.4134191081143089,0,0
13.0,78.0,0.26282405319758234,0.3585017688140134,0,0
14.0,76.0,0.26207435542885676,0.436118641065339,0,0
18.0,77.0,0.25514226163994064,0.3772815942081794,0,0
15.0,78.0,0.2511598442449326,0.4765654929430253,0,0
14.0,77.0,0.23963342232136184,0.3198267651939748,0,0
15.0,76.0,0.23638082801199292,0.3966822237991544,0,0
16.0,75.0,0.23551893089954168,0.5015176446862726,0,1
12.0,75.0,0.22746192860145867,0.4530976207644778,0,0
17.0,75.0,0.213412557918664,0.5378993099818635,0,1
18.0,76.0,0.21255690108976802,0.3806076080620316,0,0
16.0,76.0,0.18130873394303904,0.3073443182367245,0,0
18.0,75.0,0.17391534056668537,0.4420693722570331,0,0
11.0,78.0,0.16640477036637205,0.2323467120550721,0,0
14.0,78.0,0.16589855952424518,0.2508001805527993,0,0
17.0,76.0,0.16252487954690245,0.4615925246792738,0,0
